# 杩涘害杩借釜 - sarathi

| Step | 鐘舵€?|
|------|------|
| Step 0: 鐩綍鍒涘缓涓嶵ASKS.md | completed |
| Step 0a: 璇█绫诲瀷鍒ゆ柇锛堜腑/鑻憋級 | completed (en) |
| Step 0b: 鏉ユ簮绫诲瀷纭 | pending |
| Step 1: 鍐呭鎻愬彇锛堝叏鏂囷級 | pending |
| Step 2: 鍏ㄩ儴鍥剧墖涓嬭浇 | pending |
| Step 3: 灏侀潰鐢熸垚锛?00脳383 + 500脳500锛?| pending |
| Step 4a: 鍒楀嚭鍏抽敭绱犳潗娓呭崟 | pending |
| Step 4a-i: 鍐欒鐐归€熻 | pending |
| Step 4b: 纭畾鐙珛瑙傜偣 | pending |
| Step 4c: 鍐欐鏂囷紙鍚玣ull_translation锛?| pending |
| Step 4d: 鍐欑粨璇?| pending |
| Step 4d-i: 鍐欎紶閫侀棬锛坧ublished_articles.json 閫夋渶澶?绡囷級 | pending |
| Step 4e: 鍐欏弬鑰冨尯 | pending |
| Step 4f: Humanizer 娑﹁壊 | pending |
| Step 4g: 鏂囨湰鏍煎紡淇 | pending |
| Step 5: 棰勫彂甯冩鏌?| completed |
| Step 6: 鎺ㄩ€佽崏绋?| pending |

鍒涘缓鏃堕棿: 2026-09-23
鏉ユ簮: https://arxiv.org/html/2308.16369v1
| Step 4d-i: 浼犻€侀棬 | completed |
