x ylo yhi
0 0.0075402516 0.0079144654
1 0.0076610063 0.0081515723
2 0.0075037736 0.0080163522
3 0.0076327044 0.0082477987
4 0.0077805031 0.0083025157
5 0.0079031447 0.0084377358
6 0.0080358491 0.0084207547
7 0.0078163522 0.0084987421
8 0.0078559748 0.0085471698
9 0.0082113208 0.0087371069
10 0.0082616352 0.0085018868
11 0.0081886792 0.0085056604
12 0.0082301887 0.0085622642
13 0.0082006289 0.0086207547
14 0.0083433962 0.0086930818
15 0.0082257862 0.0085471698
16 0.0081339623 0.0083943396
17 0.0079955975 0.0084446541
18 0.0081924528 0.0086100629
19 0.008363522 0.0085257862
20 0.0081672956 0.0084981132
21 0.0081987421 0.0086716981
22 0.0083314465 0.0085779874
23 0.0080716981 0.0082515723
24 0.0081955975 0.0084792453
25 0.0081471698 0.0083427673
26 0.0081050314 0.0083748428
27 0.0082238994 0.0084704403
28 0.008027044 0.0082767296
29 0.0079377358 0.0081610063
30 0.0081981132 0.0085742138
31 0.0081081761 0.0084691824
32 0.0081421384 0.0083666667
33 0.0079396226 0.0082641509
34 0.007981761 0.0081830189
35 0.0083169811 0.0084823899
36 0.0081647799 0.0084880503
37 0.0080792453 0.0083176101
38 0.0082553459 0.0085566038
39 0.0078295597 0.0081157233
40 0.0079389937 0.0082138365
41 0.0077044025 0.0078993711
42 0.008245283 0.0084930818
43 0.0078213836 0.0080993711
44 0.0084238994 0.0086930818
45 0.0079779874 0.008308805
46 0.0077672956 0.0079823899
47 0.0080754717 0.0083578616
48 0.0079849057 0.0082773585
49 0.0079301887 0.0080389937
50 0.0080830189 0.0081918239
51 0.0079025157 0.008091195
52 0.0080704403 0.0081553459
53 0.0076767296 0.0077798742
54 0.0076396226 0.0078779874
55 0.0084056604 0.0086012579
56 0.0082245283 0.0084037736
57 0.0082044025 0.0084119497
58 0.0078628931 0.008008805
59 0.0077056604 0.0079584906
60 0.0079503145 0.0080924528
61 0.0082672956 0.0085201258
62 0.0081893082 0.0083786164
63 0.0080886792 0.0083937107
64 0.0077220126 0.0079666667
65 0.0080716981 0.0083371069
66 0.007772327 0.0080257862
67 0.0081169811 0.0083654088
68 0.0077132075 0.0079389937
69 0.0083918239 0.0086157233
70 0.0079805031 0.0081597484
71 0.0081283019 0.0084025157
72 0.0079962264 0.0082169811
73 0.0084603774 0.0086320755
74 0.0081616352 0.0082591195
75 0.0081691824 0.0083333333
76 0.0081893082 0.0084106918
77 0.0079899371 0.0082358491
78 0.007945283 0.0080528302
79 0.0079289308 0.008036478
80 0.0081578616 0.0084421384
81 0.0082823899 0.0085622642
82 0.0078220126 0.0080786164
83 0.0077993711 0.0080679245
84 0.008072327 0.0083484277
85 0.0080327044 0.008291195
86 0.0083358491 0.0085572327
87 0.0078496855 0.0080345912
88 0.0080345912 0.0083867925
89 0.0081647799 0.0084025157
90 0.007972327 0.0081075472
91 0.008463522 0.008608805
92 0.0083597484 0.0085660377
93 0.0081798742 0.0084528302
94 0.0088050314 0.0090811321
95 0.0085949686 0.0087704403
96 0.0082540881 0.0085578616
97 0.0083081761 0.0086012579
98 0.0081371069 0.0084628931
99 0.0083044025 0.0085075472
100 0.0085459119 0.0087213836
101 0.0080981132 0.008290566
102 0.0083018868 0.0085584906
103 0.0083163522 0.0085603774
104 0.0085377358 0.0086805031
105 0.0086761006 0.0088842767
106 0.0082301887 0.0085327044
107 0.0080584906 0.0082490566
108 0.008527673 0.0087559748
109 0.008572327 0.0088578616
110 0.0084779874 0.0086459119
111 0.0085660377 0.0088515723
112 0.0084540881 0.0086899371
113 0.0085125786 0.0089433962
114 0.0086264151 0.0090056604
115 0.0085622642 0.0089138365
116 0.0086119497 0.0089421384
117 0.0086540881 0.0089779874
118 0.0084666667 0.0089503145
119 0.0090031447 0.0095660377
120 0.0087974843 0.0090490566
121 0.0088031447 0.0092
122 0.0083402516 0.0086861635
123 0.0087798742 0.0091257862
124 0.0087345912 0.0090150943
125 0.0089886792 0.0094050314
126 0.009272956 0.0096874214
127 0.0085603774 0.0088176101
128 0.0091031447 0.0094861635
129 0.0094257862 0.010003145
130 0.0091238994 0.0096408805
131 0.0091484277 0.0096358491
132 0.0088459119 0.0092937107
133 0.0090157233 0.009436478
134 0.0090396226 0.0095301887
135 0.0089106918 0.0092880503
136 0.0088295597 0.0091345912
137 0.0090446541 0.0095440252
138 0.0092408805 0.0099144654
139 0.0099578616 0.010662264
140 0.0091786164 0.0098402516
141 0.0091371069 0.0099207547
142 0.0092396226 0.0094081761
143 0.0092264151 0.0096559748
144 0.0093792453 0.0097955975
145 0.0098880503 0.010634591
146 0.0097603774 0.010781761
147 0.0092704403 0.010177987
148 0.0096540881 0.010126415
149 0.010250943 0.010818868
150 0.0094345912 0.010248428
151 0.0094886792 0.01019434
152 0.0099408805 0.010445283
153 0.010140881 0.011143396
154 0.0094786164 0.010653459
155 0.0097981132 0.010744025
156 0.0096566038 0.01078805
157 0.010372956 0.011301887
158 0.0099100629 0.011081132
159 0.010291824 0.011227044
160 0.009827673 0.010694969
161 0.010254717 0.012201258
162 0.010824528 0.012164151
163 0.010299371 0.011566038
164 0.010132704 0.012050314
165 0.010187421 0.011555975
166 0.0099779874 0.011618868
167 0.010514465 0.012352201
168 0.010090566 0.01197044
169 0.010489937 0.01286478
170 0.010453459 0.012291195
171 0.010419497 0.013106289
172 0.01031761 0.012524528
173 0.010490566 0.012473585
174 0.010785535 0.012495597
175 0.011212579 0.013191824
176 0.010638365 0.01259434
177 0.010301887 0.012662264
178 0.010997484 0.013261006
179 0.01002956 0.01247044
180 0.011096226 0.01372327
181 0.01164717 0.014319497
182 0.011512579 0.013379874
183 0.010261006 0.012044025
184 0.010598113 0.013122642
185 0.011179874 0.014469811
186 0.011103145 0.01408239
187 0.01028239 0.013462893
188 0.010783019 0.012994969
189 0.011183648 0.013342767
190 0.011057233 0.01366478
191 0.010487421 0.012737107
192 0.011386164 0.013693711
193 0.011237107 0.013387421
194 0.010807547 0.013491195
195 0.011256604 0.013627673
196 0.0097025157 0.012447799
197 0.010362893 0.012991824
198 0.011521384 0.013754088
199 0.010497484 0.01305283
200 0.010887421 0.013281132
